logit_0,logit_1,target
3.030155,-0.98881817,0
-1.5848757,4.4922776,1
1.9996396,-1.160461,0
-6.7327566,7.233986,1
0.11413317,0.9670011,1
1.2404066,0.07291433,0
-1.6268729,2.7030473,1
-1.876629,2.8017075,1
-3.2350285,4.476627,1
3.2740726,-2.084485,0
-3.1339486,2.5795355,1
3.375511,-0.19230339,0
-3.357326,3.7982147,1
-2.5136883,3.7208006,1
2.9204834,-1.2328036,0
2.2913432,-1.8188919,1
1.8054773,-0.29075444,0
-2.1224997,3.1914325,1
0.48813254,1.6226406,1
-0.81731176,1.629026,1
0.68670636,-0.5436543,1
2.5226452,-0.79268,0
3.4302874,-1.689747,0
1.506893,-0.8361159,0
4.4156775,-2.6113524,0
1.5206319,1.0033103,1
-2.1704133,2.9540591,1
2.3292277,-0.21877581,0
-5.724373,7.7193594,1
0.6941585,-0.3714004,1
-1.9787506,3.1932964,1
-1.1530312,2.90849,1
0.90012866,1.5008495,1
0.10489377,2.3021317,1
0.88511974,0.4963844,1
0.22273816,0.48587033,1
-2.6495612,2.9216669,1
2.3979204,-1.0998874,0
0.56090283,-0.4629986,1
0.26564744,1.902716,1
-4.6729555,5.8325844,1
-4.1946263,5.329153,1
3.4615562,-1.1027169,0
5.549709,-3.3093824,0
-1.8044204,2.3569386,1
4.016131,-2.8643823,0
-0.16227919,3.1452394,1
-4.30233,7.156896,1
2.1078155,-0.6814908,1
-4.38932,5.6519694,1
-5.1842613,3.573327,1
-5.015799,5.688375,1
-3.0003624,4.447958,1
3.5681448,-1.3341608,1
1.7004372,-0.76685524,0
0.71040165,1.0286753,1
1.3483939,-1.1946441,1
-0.32094616,1.1763006,1
3.4830668,-0.62552184,0
4.4078097,-1.6802685,0
-1.1397945,3.035468,1
3.551103,-1.906872,1
3.4374888,-0.08207384,0
-6.755458,8.016362,1
3.9791837,-1.3504705,0
1.379186,1.0883597,1
-5.1701903,6.4397683,1
-0.74160975,2.9983833,0
-1.0613538,3.0064678,1
0.59840536,0.1954348,1
-0.27378437,0.71881735,1
3.0382423,-1.5316627,0
2.3680136,0.09433291,0
4.406926,-1.9835587,0
1.6470377,-0.024056165,1
-3.9839647,4.7450743,1
-4.0618396,3.9553711,1
0.36144125,2.9765267,1
-2.915676,4.449782,1
-0.45683408,1.4663904,1
-0.29332507,0.95941603,1
2.349141,-1.6230658,0
4.803282,-2.3295362,1
0.25903067,0.1288925,1
-4.469865,3.849292,1
-1.8469822,1.7761195,1
1.9642643,-0.29936963,1
1.3902634,-0.4133983,0
-2.0340686,3.4425972,1
-5.6032367,6.0301886,1
-2.7119026,4.213954,1
0.72736186,2.8216913,1
2.001837,-0.67648304,1
0.2566533,2.2254362,1
2.3179417,-1.5953095,0
-2.99845,4.310346,1
1.8728384,0.00025176408,1
1.79025,-0.273204,1
-5.3319626,5.7160406,1
3.6840336,-1.0703567,0
-0.5210073,1.4755493,1
2.103174,-1.5644919,0
-0.516568,2.6950266,1
4.691091,-2.8253841,0
-4.2958455,4.726215,1
3.0891583,-0.9807899,0
-1.3644228,3.2154992,1
2.5761223,-1.3136061,0
3.1974454,-0.39386228,0
-2.7149227,3.8567297,1
-0.17383601,1.8256422,1
-2.3607924,4.3282166,1
-0.4078015,2.480361,1
-6.0279975,7.199271,1
1.881214,-0.03416255,1
0.69699013,0.7174783,0
4.322975,-3.2172444,0
3.9065895,-3.8277974,0
3.1124246,-1.0575825,0
-1.7103561,2.2410498,1
-5.284695,5.843424,1
4.41757,-2.8972754,0
-1.126908,3.403301,1
-1.0285977,1.7261575,1
3.635382,-2.4266245,0
-2.8438745,2.9355037,1
-3.348092,2.9516976,1
-1.1369163,3.202199,1
2.7283711,-0.8052784,0
1.4470364,-1.0202631,0
1.9247651,0.054533094,1
2.9736764,-1.4924612,1
-1.5744494,2.790994,1
4.4838934,-0.99972045,0
-2.3880284,5.060937,1
1.8713897,-1.5352685,0
3.5606947,-0.9005071,0
0.41048172,2.1589713,1
2.5013468,-0.30821612,0
-6.0811896,6.2557135,1
-2.258357,2.5440881,1
-4.394527,4.588162,1
1.3624053,0.7902277,1
2.5997767,0.43082017,0
-1.3028296,1.6905977,1
3.6154397,-2.432984,0
4.9669256,-1.8987207,0
2.9797025,-1.7870072,0
3.2423472,-1.986775,0
4.386517,-1.4457422,0
3.224214,0.6421436,0
3.742543,-3.5499344,0
-0.912072,1.8341775,1
3.9866762,-1.7136339,0
3.7341766,-0.7472846,0
4.3234653,-3.4843707,0
1.6959262,-0.040742844,0
0.5656566,1.1477622,1
-0.680606,2.5053642,1
4.2882023,-1.118167,0
5.704347,-3.5536275,0
0.10943842,0.55396605,0
3.3251088,-0.63747555,0
2.140382,-0.817585,0
2.5525541,-0.1293228,0
2.9813006,-1.5203409,0
1.9534193,0.18664584,0
2.5597107,-0.6779567,0
3.0581427,-1.0459623,0
3.1790419,-0.98750734,0
-5.31371,6.216252,1
2.850476,-0.31157374,0
3.8556902,-0.6672263,0
2.941806,-0.69071823,0
-4.637564,4.6931868,1
4.054915,-3.2443633,0
-0.52172154,2.340562,1
3.230799,-1.9160728,1
-5.4468055,6.422529,1
-0.58952695,1.036444,1
2.5128677,-1.53694,0
-2.9281695,3.384308,1
1.6017904,-1.8926744,1
6.1508265,-3.1405597,0
2.986451,-0.99296445,0
-2.690462,4.312648,1
3.5395155,-2.2753127,0
3.149942,-2.045473,0
2.7390351,-1.2873664,0
4.0757923,-1.971162,0
0.9850134,-0.2737421,0
-1.2352101,2.329268,1
3.7181442,-1.7512423,0
2.7520452,-0.7018994,0
3.2658763,-0.336603,0
0.68563753,-0.33059105,1
4.493453,-1.6890838,0
3.1859593,-1.1441509,0
-0.5018988,0.779967,1
0.3058229,2.6163049,1
2.9021773,-0.8393172,0
3.0040326,0.052153915,0
1.5582345,-0.23716916,0
5.8457394,-2.6903179,0
3.3052142,-0.70538014,0
-1.2581226,2.9801137,1
-3.767,6.0279603,1
6.622067,-3.0768893,0
-3.2209485,3.1998303,1
-5.391091,5.051715,1
0.74216133,1.6844754,1
0.74277693,-0.605627,1
1.7083684,0.14320692,1
-2.7254293,4.4832654,1
2.5947,-1.30532,0
2.7884014,-0.69101393,1
4.053861,-2.3210578,0
2.4264307,0.31500512,1
-5.8882008,6.9424005,1
-6.6585426,7.866482,1
-4.9646287,6.280972,1
2.6488981,-1.9829295,0
3.2029946,-1.3964759,0
-3.422035,4.319534,1
2.5814683,0.16979234,0
1.8317304,-0.82902515,1
1.3600968,0.4249283,1
0.36379296,0.59282124,1
2.3556743,-0.23219189,0
-2.342797,2.1458375,1
-2.5037556,2.7313979,1
2.3253195,0.01732576,0
-2.9282398,3.9609804,1
1.831835,-0.011981262,0
3.2897747,-1.0561104,0
1.5610353,0.86125886,0
