logit_0,logit_1,target
1.2623538,-2.5433886,0
-2.9190352,2.2829714,1
3.5534754,-1.9065505,0
-4.6899924,6.428686,1
-1.0418206,1.023214,1
2.5975459,-2.4441903,0
-4.8154674,4.5644855,1
-4.7194276,3.948265,1
-4.464054,4.3252406,1
2.7279618,-3.3740797,0
-2.8608825,3.3674154,1
1.7862577,-3.6920142,0
-6.0484824,6.223465,1
-4.8750367,5.375405,1
2.4227095,-1.1906722,0
0.9535828,-0.5099245,1
0.88013923,-1.9115089,0
-3.9305918,4.429113,1
-1.1861691,1.5667751,1
-1.967506,1.4579872,1
-3.5491757,3.6438136,1
1.5706737,-2.2273188,0
3.061719,-2.4107049,0
1.602347,-1.6670369,0
1.3911659,-2.3785043,0
-2.192603,1.2109079,1
-4.393042,4.5663643,1
0.64268076,-0.83324915,0
-5.9239097,5.81199,1
-0.26630506,0.20955333,1
-4.0018325,3.911865,1
-5.078351,4.823627,1
-0.7131266,0.37575814,1
-0.612643,0.64016986,1
-3.8775904,2.6104257,1
-1.7394494,0.27041373,1
-4.885827,4.6493154,1
2.6828065,-2.6233613,0
-0.23972082,-0.27433768,1
-0.39253935,0.023993066,1
-4.452737,5.707706,1
-4.814664,4.1061172,1
4.2026453,-4.077144,0
3.5555582,-3.2524023,0
-2.7146935,2.7604818,1
3.1566877,-0.75294954,0
-4.052507,3.975555,1
-2.8510928,2.6714513,1
0.42379737,-0.170064,1
-5.224878,5.97466,1
-2.1321392,1.9587082,1
-4.849389,5.451774,1
-2.193409,2.3640072,1
-0.6929337,0.363696,1
2.973122,-3.065036,0
-2.5863545,1.3024867,1
-1.378257,2.0291352,1
-2.6135404,3.0706892,1
0.8635254,-2.638004,0
2.7645307,-3.4603286,0
-3.1370087,3.056603,1
1.451004,-2.203884,1
4.0598235,-5.935937,0
-6.247812,8.133549,1
1.4716526,-2.9351325,0
-2.6837528,2.7450855,1
-1.052352,1.506255,1
-1.6771396,0.68949604,0
-3.0176537,2.3232913,1
-0.9926281,1.2167455,1
-1.0765299,1.5312743,1
2.8660703,-4.118889,0
0.9673222,-1.5058233,0
4.230724,-2.4502146,0
-1.7629888,1.6432555,1
-5.1634116,4.684393,1
-2.8353884,2.8012362,1
-4.043291,2.944425,1
-5.5757456,5.066518,1
-1.508522,1.1006529,1
-0.9921746,3.5493968,1
1.1779382,-1.1544527,0
0.7437131,-1.4633106,1
-0.13307369,-0.3683785,1
-3.7880046,4.913917,1
-3.147122,3.6933527,1
-1.9818087,2.059766,1
1.9410563,-0.61761844,0
-1.3826623,1.7855341,1
-8.104925,7.87472,1
-2.956833,3.0250688,1
-4.1964054,2.9335296,1
0.33497792,-0.4183414,1
-2.5378928,1.4365028,1
0.9396895,-1.1762719,0
-3.7801049,4.03627,1
-1.2293767,0.6181306,1
0.2881562,-0.17267278,1
-7.227788,7.5783367,1
2.4431024,-1.6902202,0
-4.091257,2.498019,1
2.7759428,-2.8319168,0
-4.5099797,3.950383,1
3.901335,-3.2469966,0
-4.377448,5.1821632,1
2.0637414,-2.828138,0
-5.6853647,4.135081,1
0.7332425,-2.9747274,0
0.96269655,-1.8985554,0
-1.4100466,0.5662235,1
-2.6970532,3.138931,1
-3.8287628,3.626185,1
-1.1666404,1.1296768,1
-4.371268,4.217727,1
-0.1747023,0.02267096,1
0.51509446,-0.54680127,0
3.308885,-1.7223558,0
4.3916006,-4.4771314,0
